comments,labels
"Lagi santai sambil kopi, buka P U L A U W I N bentar aja 😌",1
"Random tapi enak, beneran P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ style 😄",1
ＰＵＬＡＵＷＩＮ again? Gak pernah bosen sih 😆,1
𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 tuh selalu muncul di konten yang random tapi enak.,1
"Sumpah, video ini kayak P U L A U W I N versi mini.",1
Tolong montoon nama heronya balikin nama asli nya gausah aneh aneh,0
"Chill abis, suara lo tuh kayak narasi di 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 gitu.",1
06:30 P U L A U W I N bahaya buat orang ketagihan,1
💦ℙ𝕌𝕃𝔸𝕌𝕎𝕀ℕ💦emang gak pernah zonk sih 😌,1
ＰＵＬＡ ＵＷＩＮ mood always hits different.,1
"Lagi bete, liat ini langsung kebayang P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ vibes.",1
"Lagi scroll random, eh muncul 𝑷𝑼𝑳𝑨𝑼 𝑾𝑰 𝑵 vibes, auto nonton sampe habis.",1
ＰＵＬＡＵＷＩＮ itu udah kayak genre konten sendiri 😆,1
"Sumpah, konten kayak gini tuh 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝑵 banget.",1
"Gak lebay tapi ngena, khas P U L A U W I N banget.",1
𝓟𝓤𝓛𝓐 𝓤𝓦𝓘𝑵 di awal tuh bikin penasaran sih 😅,1
Gaya editnya sih 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝑵 approve 👌,1
"Kocak tapi adem juga, kombinasi P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ banget.",1
"Setiap nonton yang calming gini, pasti inget 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝑵.",1
𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 mood detected 😌,1
"Wkwk ngakak sih, tapi adem juga, berasa di ＰＵＬＡＵＷＩＮ.",1
"Tadi udah niat scroll doang, eh ＰＵＬＡＵＷＩＮ muncul di beranda 😆",1
💦ℙ𝕌𝕃𝔸𝕌𝕎𝕀ℕ💦sih gak pernah gagal bikin mood naik.,1
"Baru sadar, efek P͟͟U͟͟L͟͟A͟͟U͟͟ W͟͟I͟͟N͟͟ bisa bikin adem segini.",1
"ＰＵＬＡＵＷＩＮ muncul terus di FYP, jadi penasaran juga.",1
𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 selalu punya cara bikin tenang.,1
ＰＵＬＡＵＷＩＮ core detected juga nih 😎,1
"Cuan gak ada abisnya, cuma di P͟͟U͟͟L͟͟A͟͟ U͟͟W͟͟I͟͟N͟͟?",1
"Sumpah ini videonya calming banget, ＰＵＬＡＵＷＩＮ banget feel-nya.",1
P U L A U W I N tuh kayak simbol ketenangan sekarang 😂,1
"Adem banget nontonnya, aura P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟ I͟͟N͟͟ berasa.",1
apalagi ini 07:01 Ｐ ＵＬ Ａ Ｕ W I N ⚡️,1
Wkwk tadi iseng buka PULAUWIN eh malah dapet hoki.,1
💦ℙ𝕌𝕃𝔸𝕌𝕎𝕀ℕ💦ini sih bikin suasana chill banget 😌,1
P U L A U W I N vibes-nya tuh dapet dari detik pertama.,1
"Baru bangun tidur langsung cek 𝓟𝓤𝓛𝓐𝓤𝓦𝑰𝑵, gak nyesel 😁",1
"WD cair cuma 5 menit, pelayanan cepat banget hanya GA 𝐑𝐔𝐃a 𝐇𝐎 KI",1
BAU BAU NERF,0
"Baru join GA 𝐑𝐔𝐃a 𝐇𝐎 Ki , eh langsung disambut sceter hitam manis",1
"Member baru GA 𝐑𝐔𝐃a 𝐇𝐎 Ki nih, gak nyangka langsung dikasih hoki",1
"Member baru GA 𝐑𝐔𝐃a 𝐇𝐎 Ki langsung jepe, fix sih bukan sekedar mimpi",1
"GA 𝐑𝐔𝐃a 𝐇𝐎 KI Gak nyangka banget, scatter turun bertubi-tubi!",1
"Dari modal receh, hasilnya bikin kaget! GA 𝐑𝐔𝐃a 𝐇𝐎 KI",1
"Iseng daftar GA 𝐑𝐔𝐃a 𝐇𝐎 Ki , eh malah meledak 15jt,  bikin kaget",1
.,0
masih ada pr bened hyper B3 wkwk,0
hero lagends titan bang,0
"Tebak,kelvin bilang ""dar-dar-dar-dar"" berapa kali😂",0
Harith kembali tapi commander duby malah hilang😭g bisa lagi nebar nebar ta1,0
dubi kemana dah,0
Next coba harith lagi basreng pake com Angela terus card commander nya punya dubby kalo ada 😂😂,0
PERTAMAAA BASRENGGG,0
harith abyss is back kah?,0
Wkwkwk synergi pembantai kelvin dan budiono wong,0
Bang izin nge clip boleh?,0
Bang coba valir + valir,0
"Iya udah aku coba combo gampang bgt untuk dipelajari, thx",0
Basreng coba bikin claude + angela unlimited ulti basreng,0
"Combo push gw di Advance server nih buat push Arena, bedanya di commander. Prefer make GS (Buat cari crystal) or Vale (Biar cepet b3), Zilong kadang2",0
"𝐉𝐀𝐋𝐀𝐊𝟒𝐃 menawarkan berbagai permainan menarik dengan hadiah yang menggiurkan! Tak perlu menunggu lama untuk merasakan keseruannya. Yuk, mainkan sekarang dan jadilah pemenang berikutnya!",1
.,0
bang cobain granger pake com karina,0
Ama KYY aja kalah bng,0
"barusan baru menang pake harith bruiser, lumayan gampang buat bikin 666 sinergi pake gusion",0
"Bang, main comm gusion , pake xavier mage, enak juga buat push itu, 6 mage 6 stargazer, beyond the cloud nya maksimal berghh sakit itu, tapi ya enak buat push rank doang, mentok mentok juara 4 lah",0
"saran nih basreng sislowhand, kalo mkae hero yang ada mark disamping heronya itu deketin biar dapet efeknya, contoh kaya dyrot kalo lu kasih 2hero di sampingnya itu bakal dapet gaya hidup begitupun cecilion gitu basrengg",0
amoeba bssrengg🤣,0
HARIT DUBI MENARIK BASRENG🤔🤔,0
Bg lo coba kombo mm sama dijiang komender miya gelo bg,0
Harith petinju juga gacor basrengg. Gua kemaren pake 6 bruiser 6 toy. Hyper harith b3 gacor anyingggg,0
Kalo akai pake item jawhead injektor terus pake sinergi stargezer+item toy mischef yang rudal kayak nya seru mantul2 itu pasti plus di rudalin 😂,0
cocote,0
e bg main arlot dah b3 bebas mau dicombo apa aja yg oenting shadowcell 6 sekali tebas 25ribu damagenya,0
Izin clip bg Kelvin🙏,0
ganti intro vin,0
yo,0
Akhirnya requestan gw di buatin😂,0
Cape ketemu toy & dijiang? Aspiran solusinya.,0
Valit pake toy enak bgt bang,0
Defender + KOF op,0
Commander paquito + aspirant juga op,0
Cobain main mode arena bang,0
Waduhhh jadi kangen ceyi basrengggg gara gara intro nya bang kelvin,0
Make commander diroth ternak Hero harga 5 auto gacor + sinergi metro zero,0
"04:20 ❤𝐌0𝐍𝐀 𝟒𝐃🔴 emang luar biasa! Visualnya memanjakan mata, ceritanya bikin mikir, dan gameplay-nya super smooth! 🌟",1
"09:11 Gak nyangka ❤𝐌0𝐍𝐀 𝟒𝐃🔴 sebagus ini! Visualnya ciamik, ceritanya penuh makna, dan untungnya luar biasa! 💖",1
"❤𝐌0𝐍𝐀 𝟒𝐃🔴 emang juara! Baru coba sekali, langsung kecanduan sama cerita dan gameplay-nya! 🌟",1
"Masyaallah, ❤𝐌0𝐍𝐀 𝟒𝐃🔴 bikin takjub! Visualnya ciamik, ceritanya penuh makna, dan hadiahnya wow! ✨",1
"❤𝐌0𝐍𝐀 𝟒𝐃🔴, apa sih rahasia kamu bikin ketagihan? Ceritanya penuh inspirasi, gameplay-nya seru, dan hadiahnya bikin takjub! 💎",1
Bang bikin dijiang ultra 10 sinergi OP parah basreeeeng..,0
Titan Barats cobain Basreng😂,0
Banggggggggggg guaaa kangennnn harperrrrr luuuu 🗿,0
Cocootee😂,0
the real emang baru reset kalah Mulu aku main,0
"barath titan mode dong basreng,tadi gw maen gede bang",0
Ngesot² terus jadi keinget harith abyss basreeng,0
Nanggung subuh bg 🤦🏻🤦🏻🤦🏻,0
skip,0
tapi kami bukan golongan roll bawah om Kelvin😭🙏,0
Bang Kelvin Edith dikasih biji toy broken bang b1/2 dah bisa gendong gendong,0
REVIEW SKIN COMMANDER X KOF BASRENGGG,0
Hapus tombol surend bang Di lategame,0
.,0
BASRENG GUE TANTANG LO GACHA SKIN COMMANDER KOF SEMUANYA PLIS JADIIN KONTEN BASRENG🎉,0
Loker ke bang udah cape nyari kerja gua basic multimedia gua bang 😢,0
Misi pencarian 10 sinergi mana basreeeeng,0
Jadi males main mc yg sekarang susah2 bikin combo eh malah ketemu aspiran gampang lagi bikin 999 stack nya bikin hero legend b3 jadi berasa percuma 😢,0
"17:56 mvp nya akai si, rusuh banget co😂😂",0
COBAIN GLORY LEAGUE BANG KEPINNNNN GASS BASRENGGGG,0
woi basreng bikinin counter combo soul vessel anj bet ni combo,0
semangatin gua basreng lagi kumpulin 4000 jam tayang sama 1k subs hehe,0
Bang Minotaur Titan bang pakek sinergis pohon beringin,0
"Coba irithel bang, rasakan keampasan hero 5 gold, mirip yuzong awal awal",0
H,0
Kangen aspirant,0
Yuki di hapus kahh bang,0
Tolong opening di situasi kan 😂😂😂,0
"Request arlot wm basrenggg ga mati"" Tuh",0
2:18 langsunggg gasss keunn,0
bg barusan nyoba masha shadowcell luminexus. gacor parah.,0
Request Karina Titan basreng,0
BASRENG SEKARANG COMBO YG NAMBAH ATTAK SPEED APA NAMA SINERGY NYA?,0
👍🏼,0
HAMA TERBARU = Miya + Kuyang + Tombak Jilong,0
keren,0
1,0
Bang kenapa go go card VALIRS POWER ketika di pilih berubah jadi comander power yang lain,0
"Lolita udah ga 3 sinergi lagi, BASRENG",0
Bang kenapa comander dubi hilang bang,0
dubi : this my time to shine .,0
"Musuhnya di late game Hero 5 gold bang b3,gak kuat",0
Bang Kelvin item pelampung tu kasi Hero tb aja bang gak ush di kasi Hero belakang,0
jangan skip,0
Gacor guru dah nyoba arlot b3 jadi abu wkwkw dapet chard magic imersion yang emas lagi wkwk,0
"Pake comender gusion bg ters haritnya kasih stargezer  toy mistif + ruby buat aktifin 3 sinergi bareng barat,uranus,vexsana buat stargezer sekalian sisanya bebas",0
"udh pake dri awal season, cm keknya enak pke Angela sih, dan terbukti ws",0
Request Jonson Luminexus bawa celurit karina bang,0
Hadir telat 36 menit 🎉🎉,0
Woy basreng... Itu suara belum di setok lagi ka???😂😂😂,0
KENAPA GUE GA PERNAH DAPET GOGO CARD ZILONG BASRENGGGG,0
Next hama pengganti gloo😂😂,0
Request Johnson toy mischief / KOF basrrengg wkwk,0
Lebih rekomendet aldous bang cobain deh gacor banget sumpah,0
2:17 skip anyinggggg😂,0
"Kemarin dah nyobain bang, kombo andalan dulu 

C. Angela sinergi mage+toy go go card magic emersion emas sama zilong

Gacor bet bang Harith nya wkwkwk Real berubah jadi kecoak🤣🤣🤣",0
combo enak buat push basreng.,0
MC biasa GK bakalan bakal balik lagi ya bang semenjak MC gogo gak pernah main lagi gua mc😂😂,0
Langsung saja kita tes basreng,0
"Bang kelvin coba bang main commander angela hyper hartih synergy toy mischief+ stargazer, kasih item rudal bang biar spam terus 🙏😁",0
Coba bikin hyper harith pake comander duby bang,0
bg nanti di katain hama ga😂😂,0
Sperti biasa udah coba kek lu ngab ujung2nya hastag 7😂,0
Req pakai dubi keknya asik. 😂,0
"pas banget pengen bab nemenin berak, makasih bang😂",0
Request Ceci wm bang,0
Suara lu udah sembuh basrenggg,0
👍🏽,0
Basrengggggg,0
oii cocote sekali kali bikin konten ml dong kangen sama jawhead lu basreng,0
Gas 🔥🔥🔥🔥🔥,0
Lansung saja basreeeenggg😂😂,0
Basreeeenggg😂😂,0
"Pake commander gusion juga bisa bang, pake stargazerr.",0
gacorrrr abis basrengggg,0
Tetep monton yang menang....kalok udah drak sistem tetep drak sistem 😂😂😂😂,0
Cobain guin + guin bang Kel kakalu hoki cari ggc yang rising festival 😂 dan rasakan kenikmatan nya,0
Basreng,0
Basrengg,0
Frumos frate,0
Combo mager basreng biar main sambil kerja😂😂😂,0
kok pas banget ya kyk gw bg tadi abis pake combo sinergi yg lu pake ternyata enak banget,0
Buat konten pakeeeet dong Basreng,0
Pas banget mau makan 😂,0
basreng 🔥🔥,0
Bang vidio yang saran kombo bisa diclip gak? Klo bisa bolehkah saya clip tapi dibawahnya pakai gameplay saya sendiri?,0
2:17 NIH BUAT SKIP😂,0
Review skin Aurora basreng sekalian tutorin gw,0
P,0
Basrengggg,0
Makin ganteng aja basrengggg,0
Pertamaaaa basreng anyingggg,0
rek bg kelpin vexana biji KOF mantab bngt spam lord,0
Halow,0
pertama semua nih😂😂,0
basreeeengggg,0
Rawrrrr,0
Bassrenggggg,0
Basrenggggg ga kangen abe 3 kah hahahahahhaha,0
cocotee melonn,0
Hadirr kembali nih basrengg anyinkkk,0
Pertama bang,0
Komen pertama,0
Pertama dapet apa,0
Pertama basrengggg,0
basreeenggg,0
Baru nonton lagi kok gada iklan moris,0
"Granger B 3 ngab, walaupun Hero 4 gold damage nya ga ngotak",0
KLO gw jadi musuhnya.pas Claude jadi B3 gw surend in Lo bang🤭🤣,0
kaciw,0
p,0
Padahal pas ulti loncat terus lari irithel enak +op 😂,0
.,0
ketua magic immerson😂😂,0
"Buat gw yang main mc nya doang terasa aneh liat skill efek dari skin"" Nya kadang ga kenal hero kalo ga liat nama😂",0
awal season 6 aspir - 6 kof vexana B3 pake kristal kof 😋,0
Jadi inget dulu pulaingin bang kelvin pas zaman wymslayer hyper claude,0
Cepet pulih suaranya basreng😂😂😂.. intronya kerasa lemes banget kurang stamina😂😂,0
"Pake commander gusion bang, claud Brusser lebih memuaskan.. iori Yagami B3 kalah... Barusan saya main kek gitu.. jadi main 2 sinergi role mm sama bruiser",0
"tpi kalau menurut saya, bg kelvin ini stiap stream sangat interaktif jdi makanya suaranya cepet abis😂",0
"Greget gue, bener apa yang di bilang KB. knp ga jual hero murah terunin bintangnya, buat nge roll cari Claude.",0
Bang cobain dyroth ggcard dyroth.... Bejibun hero harag 5 😂,0
oii basrengg,0
basreng maen skylar di chessboard,0
Sama basrenggg aku juga abis bikin Claude super titan,0
Kok jadi bagus meskipun gaada suaranya apakah ganti mic😅😅,0
"Wkwkwk Claude KOF kocak bg,mntp",0
"Coba bikin akai KOF bang, muter2 terus kayak gasing, seru aslidah",0
gg,0
Gua tadi habis jadi Granger b3 kof tapi gak Titan 😢,0
Serak amet lu basreng minum bodrexin rasa janda😂😂😂,0
Bang mau nanya ke adaan petrik sekarang gimana,0
Yg mau liat Granger B3 KOF TITAN Mode cek profil,0
MORRIS TERLUPAKAN WELLLL,0
Bang kok gua jarang dapet calon bang,0
Suara lu napa basreng😂,0
Si lumba² is back bang,0
"Bang coba main 
 jonson pake kartu lunox gampang dapetin 10 nya",0
"Bened kof titan, gacor bg",0
Udh subscribe izin ngeclip bc,0
gw lama² muak sama komen an judol ini berkeliaran......,0
ini update-tan kapan?,0
Gacha kof bang diamondnya minta ke moonton,0
"awal season awali dgn ultra synergy dijiang b4 wkwk... sekali sembur ilang....  kyo kusunagi udh pernah b3, vexana udah pernah b3, pokoknya hero kof udah pernah b3 semuanya wkwk... the power off guin+chou wkwk😂",0
Blazing duet from Skylar,0
Baru update langsung dikasi claude kof+tombak jilong atk spd gacor mana juga gacor ulti terus😂,0
Ntah kenapa lu kagak mau jual Hero B2 tuker B1 gitu buat cari Hero yang mau di hyperin basrenggggg,0
Komen nya banyak bet judol nya co,0
"itu tour nya di live in ga vin? kalo iya live nya di channel siapa?

bantu like ges supaya dinotice :D",0
Basreng request Akai Kof,0
🔥🔥,0
Bang buat jawhed kof Titan abis kluar kandang auto lempar lempar orang tiada henti,0
mantap,0
"Bro setiap kali lu upload,, kok kek ada suara mesin yaa di video ny bro,,",0
ngeong,0
Bikin combo gampang udah lama ga main mau main ada skin mcgg di ML nya,0
Ulti Claude puki puki puki,0
"Chill tapi ngena banget, kaya tone 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.",1
𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 selalu punya cara bikin tenang.,1
💦ℙ𝕌𝕃𝔸𝕌𝕎𝕀ℕ💦ini sih bikin suasana chill banget 😌,1
ＰＵＬＡＵＷＩＮ itu udah kayak genre konten sendiri 😆,1
06:30 P U L A U W I N bahaya buat orang ketagihan,1
"Santai tapi lucu juga, kaya humor P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟.",1
apakah Karmila bisa di jadiin Hyper($é×)?,0
ＰＵＬＡＵＷＩＮ tuh selalu muncul pas lagi pengen healing.,1
ＰＵＬＡＵＷＩＮ moment detected 😎,1
"Adem banget nontonnya, aura P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟ I͟͟N͟͟ berasa.",1
ＰＵＬＡＵＷＩＮ moments never disappoint.,1
"Gak lebay tapi ngena, khas P U L A U W I N banget.",1
"Lagi bete, liat ini langsung kebayang P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ vibes.",1
"Tenang tapi tetap lucu, aura ＰＵＬＡＵＷＩＮ kerasa banget.",1
Mcgg season 4 bingung aku combo apa yang terkuat yang bisa di pakai terus,0
"Bang Kelvin saran aja bilangin ke monton ,klo hasil pertandingan di kasihh powerrr kayakk duluu😅 biar gg",0
akhirnya Claude Titan mantap basreng 😂,0
wkwkwk,0
"Bang request
coba buat 11 kof bang sepertinya mengerikan",0
Puki puki nya mana basreeengggg,0
Jgn lupa granger titannya bang,0
"Hujan JEPE terus dari PU L AU 7 7 7, gila sih ini ❤️",1
Gak ada yang bisa ngalahin hoki dari𝓟𝓤𝓛𝓐𝓤777.,1
"❤️GA 𝐑𝐔𝐃a 𝐇𝐎 KI❤️Gak nyangka banget, scatter turun bertubi-tubi! 🎰",1
"Dari modal receh, hasilnya bikin kaget!❤️GA 𝐑𝐔𝐃a 𝐇𝐎 KI❤️",1
"Iseng daftar ✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟, eh malah meledak 15jt,  bikin kaget 💎",1
"Baru join✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟, eh langsung disambut sceter hitam manis 😭💎",1
"❤️GA 𝐑𝐔𝐃a 𝐇𝐎 KI❤️Gak nyangka banget, scatter turun bertubi-tubi! 🎰",1
"Member baru ✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟langsung jepe, fix sih bukan sekedar mimpi 😍🔥",1
"❤️GA 𝐑𝐔𝐃a 𝐇𝐎 KI❤️Gak nyangka banget, scatter turun bertubi-tubi! 🎰",1
"Baru join✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟, eh langsung disambut sceter hitam manis 😭💎",1
"Dari modal receh, hasilnya bikin kaget!❤️GA 𝐑𝐔𝐃a 𝐇𝐎 KI❤️",1
"Iseng daftar ✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟, eh malah meledak 15jt,  bikin kaget 💎",1
"Iseng daftar ✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟, eh malah meledak 15jt,  bikin kaget 💎",1
"Member baru✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟 nih, gak nyangka langsung dikasih hoki 😍",1
"❤️GA 𝐑𝐔𝐃a 𝐇𝐎 KI❤️Gak nyangka banget, scatter turun bertubi-tubi! 🎰",1
Baru join gak sampai sejam udah pecah maxwin 😭🎉GA 𝐑𝐔𝐃a 𝐇𝐎 KI⚡️,1
"Dari modal receh, hasilnya bikin kaget!❤️GA 𝐑𝐔𝐃a 𝐇𝐎 KI❤️",1
"Member baru ✨GA 𝐑𝐔𝐃a 𝐇𝐎 Ki 🌟langsung jepe, fix sih bukan sekedar mimpi 😍🔥",1
Baru join gak sampai sejam udah pecah maxwin 😭🎉GA 𝐑𝐔𝐃a 𝐇𝐎 KI⚡️,1
Harusnya hero lain bintang 1 aja basreng biar keliatan,0
Cuan ngalir deras lagi dari𝓟𝓤𝓛𝓐𝓤777sampe gak sempet narik.,1
Baru 10 menit main di𝓟𝓤𝓛𝓐𝓤777langsung meledak hasilnya.,1
P͟U͟L͟A͟U͟777lagi-lagi kasih hasil luar ekspektasi ❤️,1
"PU L AU 7 7 7emang beda, hasilnya bikin melongo.",1
Terimakasih𝙋𝙐𝙇𝘼𝙪777 udah bantu aku nutup bulan dengan cuan ❤️,1
Gak ngerti lagi kenapa selalu hoki di𝓟𝓤𝓛𝓐𝓤777. ❤️,1
Gak nyangka pagi ini bisa JEPE 3x di𝓟𝓤𝓛𝓐𝓤777 ❤️,1
PU LA U777emang bener-bener ngasih hasil real bukan omong kosong.,1
"Tadi pagi iseng login ke PU LA U777, hasilnya luar biasa.",1
"Dari kecil sampai gede JP, semua berawal dari𝙋𝙐𝙇𝘼𝙪777.",1
berhasil haha,0
Akhir cenel yang gua tunggu tunggu... Dari kemarin gua nungguin lu bang... Nih gua subrek biar gua gak ketinggalan konten lu lagi,0
"Coba VEXANA KOF, TERNAK LORD 😂😊",0
Rujit sia si lumba lumba we,0
👍🏼,0
"GUA MARAH SAMA MOONTOON COMANDER DUBY HILANG, MCGG OLD PALING BAGUS YG SEKARANG AMPAS , MOONTON = AMATI, TIRU, PLEK KETIPLEK . TFT LOL LEBIH BAGUS",0
😪,0
Suara lu mirip lucinta Luna woi😂,0
Minum air anget bng biar cepat sembuh,0
"arlot titan basreng, tdi gw jadi sekali sapu 200k damage",0
"bang cobain vexana kof bang, ternak lord",0
Valentina B3 ngeri bang,0
Waktunya bersenang-senang! Yuk gabung SINDEN4D dan rasakan excitement-nya!,1
"Ga kombo mager ga main bang, plis info",0
"Dijang stargezer enak bang, ngespam ngespam",0
Basreng live lagi gk besok😂😂,0
balik lagi intro kakek sugiono wkwkwk,0
anjay finalyy basrengg,0
🩷𝐕𝐎𝐋𝐈𝟒𝐃🩷 bikin ketagihan🥰🤩🎉,1
hari hari kadita mulu,0
Kok commander yg bukan Hero mlbb pada ilang ya??,0
Lah aurora ko 3 synergi ya,0
bang cobain aldous pake karina bang biar 1 gedik 1 kill,0
semangatin gua dong basreng lagi kumpulin 4000jam tayang,0
pukiiii,0
"Bang vin, coba pakai Claude zilong/gusion kalau bisa dapetin crystal bruiser soalnya ULTI nya jadi sakit banget soalnya ultinya berpengaruh dari basic attack.",0
cococte,0
Izin clip mas 😊,0
Cobain arlot kof op bang,0
"Sinergi rora kadang 2 kadang 3, lolita juga gitu.
Aneh bgt",0
combo mager bng,0
Basreng coba pake comander Aamon terus gogocardnya kalo dapet paquito ataupun sebaliknya. Bisa cepet B3 hero legend,0
Pas Claude ulti gue langsung ngomong pokyyyyyyy😂😂😂😂,0
Claude pungky😂🎉🎉,0
.,0
"Bikin 10 Aspiran gampang bang. Gue ada caranya bang., Hanya butuh 1 kristal apiran bang",0
mntap 🔥,0
"claude commander angela terus ggc commandernya juga ambl angela, claudenya ulti terus bang, coba deh",0
Lagian kenapa hero yang B2 gak di GADAI GADAI,0
payah kadita ga ada damage,0
basureng,0
Istirahat aje ngab sebulan biar lega lagi suaranya 💪,0
"999 aspirant mana bang,slow tp pasti sesuai nama",0
1:10 langsungg gass keun,0
semngat,0
.,0
Skip ke menit 1:16😅,0
req vexana b3 kof bang. gua udh dpt dan very satisfying wkwkwk,0
dah akhirnya bisa tidur nyenyakk yeee,0
"Cobain combo beyoun hyper adit bang, belom pernah kayak.nya",0
"Bukannya CL sudah TAMAT bang.? CL kan sudah dibikin Titan, bahkan Super Duper Titan yg gede banget. MC yang dulu² dulu² banget.",0
Bac0t kelvin,0
oii,0
#Bang hari ini gua udh ngrasain 10 sinergy br. 10 #Toy mchif sm 10 #Soulvassel😂😂 ngeri bet dah 10 soulvassel. Musuhnya sampe suren awokwk 😅 Klo yg 10 toy mchf sih b aja😂😂,0
PERTAMAA BASRENGGG,0
Aku pun udah jadi Claude titan😅😅😅😅😅,0
Basrenggg,0
saran aja sih klo hero core udh mau B3 trus duitnya kurang. jual jualin aja hero yg ga terlalu penting/turunin ke B1.  trus jgn maksa ambilin hero yg ga penting juga di sela ngerole.,0
si lumba lumba ey ey si lumba lumba,0
okeyy telat sejamm lgih seperti biasaa❤❤❤,0
+ ada tambahan darah dan damak bang wkwk tu hoki banget dpt claude dr gogocrt wkwk,0
